i_simul,gen,strategy,n_ind,fitness_relative
2,91,storage,98.0,50.638665808246486
2,92,matching,2.0,6.798095709388898
2,92,switching,0.0,0.0
2,92,storage,98.0,43.91956292286641
2,93,matching,0.0,0.0
2,93,switching,1.0,4.669848529080305
2,93,storage,99.0,47.0581900433949
2,94,matching,0.0,0.0
2,94,switching,1.0,4.688913555384572
2,94,storage,99.0,46.026242807889446
2,95,matching,0.0,0.0
2,95,switching,2.0,6.529347280156596
2,95,storage,98.0,45.366757763816715
2,96,matching,1.0,7.5837407071376255
2,96,switching,0.0,0.0
2,96,storage,99.0,45.40600828473643
2,97,matching,1.0,7.534089294828692
2,97,switching,2.0,7.605545382245907
2,97,storage,97.0,46.454856493641536
2,98,matching,0.0,0.0
2,98,switching,0.0,0.0
2,98,storage,100.0,44.0958065720521
2,99,matching,0.0,0.0
2,99,switching,1.0,9.649084522756931
2,99,storage,99.0,51.8313944584981
3,0,matching,33.0,18.413310340042955
3,0,switching,30.0,29.308055475124366
3,0,storage,37.0,45.687844635848826
3,1,matching,24.0,14.079435801145173
3,1,switching,24.0,21.606368852050664
3,1,storage,52.0,46.88868400740534
3,2,matching,9.0,9.656841037104051
3,2,switching,18.0,9.91907591988327
3,2,storage,73.0,45.35265874984733
3,3,matching,1.0,7.000068394741758
3,3,switching,4.0,5.586388547828495
3,3,storage,95.0,46.5675492035416
3,4,matching,0.0,0.0
3,4,switching,0.0,0.0
3,4,storage,100.0,51.64740876918493
3,5,matching,0.0,0.0
3,5,switching,0.0,0.0
3,5,storage,100.0,46.11036129816797
3,6,matching,0.0,0.0
3,6,switching,1.0,7.319648041440506
3,6,storage,99.0,46.841584611871006
3,7,matching,0.0,0.0
3,7,switching,2.0,2.71788726991472
3,7,storage,98.0,44.89746675487662
3,8,matching,0.0,0.0
3,8,switching,0.0,0.0
3,8,storage,100.0,46.03586937384225
3,9,matching,0.0,0.0
3,9,switching,0.0,0.0
3,9,storage,100.0,46.02153239897505
3,10,matching,2.0,7.375276020105919
3,10,switching,1.0,3.7271761984731895
3,10,storage,97.0,45.424646157039156
3,11,matching,0.0,0.0
3,11,switching,1.0,5.625976097256657
3,11,storage,99.0,45.70365866212021
3,12,matching,2.0,7.642275145142159
3,12,switching,0.0,0.0
3,12,storage,98.0,46.157807971614304
3,13,matching,1.0,6.821318956924721
3,13,switching,0.0,0.0
3,13,storage,99.0,45.25477390085942
3,14,matching,0.0,0.0
3,14,switching,0.0,0.0
3,14,storage,100.0,46.599389540143456
3,15,matching,0.0,0.0
3,15,switching,1.0,11.524299564542037
3,15,storage,99.0,47.048731310663285
3,16,matching,1.0,7.7095210875261575
3,16,switching,1.0,8.841712196745831
3,16,storage,98.0,45.755226730471264
3,17,matching,2.0,7.138372865326789
3,17,switching,1.0,5.936581832266674
3,17,storage,97.0,44.0902666793931
3,18,matching,2.0,7.9508301302778674
3,18,switching,0.0,0.0
3,18,storage,98.0,46.47836720699306
3,19,matching,1.0,7.730340900243268
3,19,switching,1.0,5.947539090827439
3,19,storage,98.0,46.847358287365026
3,20,matching,0.0,0.0
3,20,switching,0.0,0.0
3,20,storage,100.0,46.07161812083043
3,21,matching,0.0,0.0
3,21,switching,0.0,0.0
3,21,storage,100.0,43.716314558063985
3,22,matching,0.0,0.0
3,22,switching,0.0,0.0
3,22,storage,100.0,47.438762223943314
3,23,matching,0.0,0.0
3,23,switching,0.0,0.0
3,23,storage,100.0,52.92738810686112
3,24,matching,0.0,0.0
3,24,switching,1.0,7.488806933580653
3,24,storage,99.0,44.96666839865595
3,25,matching,0.0,0.0
3,25,switching,0.0,0.0
3,25,storage,100.0,44.51119882641794
3,26,matching,1.0,7.655090901947769
3,26,switching,1.0,7.825702421999859
3,26,storage,98.0,47.518263212394544
3,27,matching,0.0,0.0
3,27,switching,1.0,5.577823310072876
3,27,storage,99.0,45.295831025887
3,28,matching,0.0,0.0
3,28,switching,2.0,4.2770704176623555
3,28,storage,98.0,44.69242307434242
3,29,matching,0.0,0.0
3,29,switching,1.0,5.907204847256935
3,29,storage,99.0,45.915918551416084
3,30,matching,1.0,7.831582301152058
3,30,switching,1.0,8.505828930063739
3,30,storage,98.0,46.68971809883206
3,31,matching,1.0,6.802316880031465
3,31,switching,1.0,7.771199098558689
3,31,storage,98.0,45.230175779389995
3,32,matching,0.0,0.0
3,32,switching,0.0,0.0
3,32,storage,100.0,46.41196441063565
3,33,matching,0.0,0.0
3,33,switching,0.0,0.0
3,33,storage,100.0,46.049340725520686
3,34,matching,1.0,8.046319288740419
3,34,switching,0.0,0.0
3,34,storage,99.0,45.27581936042921
3,35,matching,0.0,0.0
3,35,switching,1.0,3.210675847276783
3,35,storage,99.0,43.608787962194604
3,36,matching,0.0,0.0
3,36,switching,0.0,0.0
3,36,storage,100.0,45.16997905533745
3,37,matching,0.0,0.0
3,37,switching,0.0,0.0
3,37,storage,100.0,46.400598278381956
3,38,matching,0.0,0.0
3,38,switching,2.0,9.401473471097976
3,38,storage,98.0,46.86144916672777
3,39,matching,0.0,0.0
3,39,switching,1.0,2.529640360668031
3,39,storage,99.0,44.766503727295934
3,40,matching,0.0,0.0
3,40,switching,0.0,0.0
3,40,storage,100.0,45.011158909217414
3,41,matching,1.0,7.628859033325693
3,41,switching,0.0,0.0
3,41,storage,99.0,47.39193429362109
3,42,matching,1.0,7.007421294154726
3,42,switching,0.0,0.0
3,42,storage,99.0,45.97322141753601
3,43,matching,1.0,6.963701476254204
3,43,switching,0.0,0.0
3,43,storage,99.0,45.76781349116625
3,44,matching,0.0,0.0
3,44,switching,1.0,5.454428511876962
3,44,storage,99.0,45.9727348589825
3,45,matching,1.0,7.254967927435849
3,45,switching,1.0,7.938698825561966
3,45,storage,98.0,45.60189212925603
3,46,matching,2.0,7.4744917555868176
3,46,switching,0.0,0.0
3,46,storage,98.0,45.83987171926425
3,47,matching,0.0,0.0
3,47,switching,1.0,2.3399243068638493
3,47,storage,99.0,43.533211997799185
3,48,matching,1.0,7.49865477113687
3,48,switching,0.0,0.0
3,48,storage,99.0,44.77706056848141
3,49,matching,0.0,0.0
3,49,switching,0.0,0.0
3,49,storage,100.0,45.8338896899877
3,50,matching,1.0,7.684793798477509
3,50,switching,0.0,0.0
3,50,storage,99.0,45.53616817829908
3,51,matching,1.0,7.698401784072426
3,51,switching,0.0,0.0
3,51,storage,99.0,46.14024661258582
3,52,matching,0.0,0.0
3,52,switching,0.0,0.0
3,52,storage,100.0,44.98577637938127
3,53,matching,2.0,7.285888482932241
3,53,switching,0.0,0.0
3,53,storage,98.0,46.63680073013895
3,54,matching,0.0,0.0
3,54,switching,0.0,0.0
3,54,storage,100.0,46.48322834379851
3,55,matching,2.0,7.044744848376825
3,55,switching,0.0,0.0
3,55,storage,98.0,46.16968331886898
3,56,matching,0.0,0.0
3,56,switching,1.0,3.6215154455223595
3,56,storage,99.0,44.54342183468688
3,57,matching,0.0,0.0
3,57,switching,2.0,4.019671257050833
3,57,storage,98.0,48.01835159994855
3,58,matching,1.0,7.19165322764206
3,58,switching,1.0,5.537087403367318
3,58,storage,98.0,45.19055924545604
3,59,matching,0.0,0.0
3,59,switching,0.0,0.0
3,59,storage,100.0,48.130282634709936
3,60,matching,0.0,0.0
3,60,switching,1.0,4.998204523307212
3,60,storage,99.0,46.75899254522964
3,61,matching,1.0,7.409735903129128
